sequence,source_index,source_timestamp,left_index,left_timestamp,left_angle_deg,left_translation,right_index,right_timestamp,right_angle_deg,right_translation,total_angle_deg,angle_error_sum_deg
c767b97c0d3caca4,85,100200100,142,102102000,-14.990459969149637,1.666660659022097,19,97997900,15.002884037405307,2.1640009695584683,29.993344006554942,0.012424068255670662
ba26189581b38b93,215,296996700,139,294460833,-15.010590994461834,1.0983416014164318,14,290290000,14.9974157227964,2.793025310042792,30.008006717258233,0.013175271665433641
1b87f55dec310243,185,175208367,147,173940433,-14.995666084763226,1.0414274586819436,224,176509667,14.990207838987926,1.1960152123741816,29.98587392375115,0.014126076248848207
168c85ce00de0c6b,73,97096000,51,96362000,-15.005301454203558,0.5481118282141866,97,97897000,15.009276816575435,0.5661735428357855,30.01457827077899,0.01457827077899232
1b87f55dec310243,163,174474300,126,173239733,-14.989617997780151,0.8839270664604485,205,175875700,15.005833269748667,1.2430122007372915,29.995451267528818,0.01621527196851602
fc966f25afa3659f,176,163997167,37,159359200,-14.98801699601929,2.9195536666268525,275,167300467,14.993060542847882,2.899919865676309,29.981077538867172,0.018922461132827806
1b87f55dec310243,84,171838333,21,169736233,-15.013660257474344,1.7758713097374936,123,173139633,14.992603973112342,0.8383485655493442,30.006264230586687,0.02105628436200213
168c85ce00de0c6b,101,98030000,77,97230000,-15.004264984202031,0.5642516984408741,144,99465000,15.016979232304255,1.0518999952413564,30.021244216506286,0.02124421650628605
168c85ce00de0c6b,97,97897000,73,97096000,-15.00754712334124,0.5661735428357855,136,99198000,14.985962707336752,0.9383525075424018,29.993509830677993,0.02158441600448846
ba26189581b38b93,237,297730767,70,292158533,-15.008251846663615,2.384547349479501,274,298965333,14.986572714936688,0.32641162730434176,29.994824561600304,0.021679131726926926
83a449617d36a17b,68,148682000,42,147814000,-15.001643002549256,0.24507638213690003,117,150317000,14.979654360066572,0.4472916137435426,29.981297362615827,0.021988642482684284
fc966f25afa3659f,152,163196367,24,158925433,-14.992358891499755,2.677017095123007,226,165665500,15.01522615674097,1.928167839170441,30.007585048240728,0.022867265241215406
83a449617d36a17b,77,148982000,47,147981000,-15.016103949507903,0.28278447153254205,146,151284000,14.993021268111592,0.37957870677263533,30.009125217619495,0.023082681396310534
195fbef2c08715e9,179,188655133,95,185852333,-15.010146919091575,1.9074966186674844,276,191891700,15.013350831378306,1.8301938250178806,30.02349775046988,0.023497750469880785
93e6c08c33206a0c,97,85018000,141,86486000,-15.005899789725726,1.2497270681823913,46,83316000,15.018352077409508,1.876014916615498,30.024251867135234,0.024251867135234306
ba26189581b38b93,229,297463833,191,296195900,-14.995349632806517,0.4501384721129274,264,298631667,14.97979541318327,0.29991579227114523,29.975145045989787,0.024854954010212538
fc966f25afa3659f,156,163329833,26,158992167,-14.977642684204103,2.7270174339788302,240,166132633,15.003527076621348,2.2800963735835755,29.981169760825452,0.02588439241724494
99bf0dc41a750511,112,247280367,162,248948700,-15.026759448079114,0.38137272691896384,68,245812233,15.001832390119048,0.41656495595729415,30.02859183819816,0.028591838198162023
93e6c08c33206a0c,85,84617000,132,86185000,-14.989298840365182,1.430274736572067,34,82915000,14.981594202850987,1.9748256585103223,29.97089304321617,0.02910695678383135
93e6c08c33206a0c,98,85051000,142,86519000,-15.022635464529563,1.2374073821239497,47,83349000,15.006694208644246,1.8686712982410039,30.02932967317381,0.029329673173808857
99bf0dc41a750511,77,246112533,121,247580667,-15.028533991800465,0.39759202861695375,25,244377467,15.003954894264378,0.5254500811140908,30.032488886064844,0.03248888606484357
99bf0dc41a750511,123,247647400,179,249515933,-15.004829415162392,0.417494557119259,79,246179267,15.028483874887838,0.3926353558906584,30.03331329005023,0.03331329005023065
c767b97c0d3caca4,86,100233467,143,102135367,-15.013470463238793,1.661195903823598,20,98031267,15.021886799610138,2.1623721293584297,30.035357262848933,0.03535726284893137
195fbef2c08715e9,56,184551033,26,183550033,-14.987607631419278,0.4542574539860643,85,185518667,15.025040427790778,0.47688851078861394,30.012648059210058,0.03743279637149932
8c2c302994f6cea1,40,314013700,63,314781133,-15.015454600186256,0.46587479635785445,18,313279633,15.024854764048454,0.4351812191012623,30.04030936423471,0.04030936423471054
4811a66f87b0dd6a,38,271237000,1,270002000,-15.03374886857449,0.602366713240739,63,272071000,15.007925252214369,0.38738815433062995,30.04167412078886,0.04167412078885846
c767b97c0d3caca4,84,100166733,141,102068633,-14.956281059646122,1.6720340663152418,18,97964533,15.001079854128443,2.1677763161727217,29.957360913774565,0.044798794482321824
8c2c302994f6cea1,136,317216900,204,319485833,-14.975256677762394,0.7083939492209461,105,316182533,15.02217554241124,0.563511425704274,29.997432220173636,0.04691886464884654
c53178af617eaa65,48,55622000,143,58892000,-15.021246260951756,2.048586682402961,13,54421000,15.026040174913511,0.40062627551120655,30.047286435865267,0.04728643586526715
195fbef2c08715e9,103,186119267,66,184884700,-14.964530666813088,0.6678985507848376,235,190523667,15.01254078008881,2.9752045393287885,29.9770714469019,0.04801011327572269
8c2c302994f6cea1,206,319552567,247,320920600,-15.011051039388578,0.5910054197058836,137,317250267,14.960622303149991,0.6915882795558743,29.97167334253857,0.05042873623858668
83a449617d36a17b,70,148748000,43,147847000,-14.994953156857594,0.25426687214737226,122,150483000,15.047387351929693,0.45154397136481556,30.042340508787287,0.05243419507209879
7700df7cad223bae,26,172472139,61,173639973,-15.05721422161195,0.6796296469033689,5,171771438,15.00244677434503,0.4332312340610842,30.059660995956982,0.059660995956980045
c53178af617eaa65,46,55555000,148,59092000,-14.999005912118585,2.2060376377560025,10,54321000,15.059635246502259,0.38779511250745474,30.058641158620844,0.06062933438367324
de188793714f8576,107,82916250,130,83683684,-15.063802296364038,0.1322936291257732,24,80146813,15.005021285239286,0.397326024609993,30.068823581603326,0.0688235816033238
c53178af617eaa65,50,55689000,122,58158000,-15.004433732313792,1.5290831154547835,16,54521000,14.93344957835877,0.4099376876929481,29.93788331067256,0.07098415395502222
4811a66f87b0dd6a,63,272071000,38,271237000,-15.002140353020069,0.38738815433062995,76,272505000,15.080316254013502,0.1510170599335661,30.08245660703357,0.0824566070335706
de188793714f8576,109,82982983,131,83717050,-14.915921999920062,0.12744358333083072,68,81614948,14.997799063659503,0.20679266198682314,29.913721063579565,0.0862789364204346
de188793714f8576,121,83383383,139,83983984,-14.973473946439285,0.11028294399658536,91,82382382,15.06079552049514,0.1627192535688887,30.034269466934425,0.08732157405585461
4811a66f87b0dd6a,41,271337000,10,270303000,-15.050193342594474,0.5044992799542919,65,272138000,14.961691871336185,0.36207575284501564,30.01188521393066,0.08850147125828833
7700df7cad223bae,30,172605606,70,173940274,-14.952573812675649,0.746562959560832,8,171871538,15.046567485979395,0.4627136466076192,29.999141298655044,0.0939936733037463
c887543e0e2d2a89,26,139873067,70,141341200,-15.038044502452296,0.6569302341215488,3,139105633,14.925055948351833,0.3847639298004121,29.963100450804127,0.11298855410046293
c887543e0e2d2a89,24,139806333,65,141174367,-15.029593778144706,0.6254621133610446,1,139038900,14.88809512994711,0.38675340151431603,29.91768890809182,0.1414986481975955
c887543e0e2d2a89,25,139839700,68,141274467,-15.098956443768564,0.6467577833310135,2,139072267,14.945873837659367,0.3880064282600823,30.04483028142793,0.15308260610919788
7700df7cad223bae,34,172739072,84,174407407,-14.988131228666832,0.9200254628828783,11,171971638,14.854326713069382,0.4825392734407837,29.842457941736214,0.1575420582637861
806459ce2b15a2c1,228,93193000,154,90723000,-14.872705784350563,1.108841238419518,278,94861000,13.131661932910827,0.7583057926721202,28.00436771726139,1.99563228273861
806459ce2b15a2c1,227,93159000,154,90723000,-14.554449655980555,1.0951409379491521,278,94861000,13.449796756117545,0.7720564801361546,28.004246412098098,1.9957535879019002
806459ce2b15a2c1,226,93126000,154,90723000,-14.227679843980269,1.0815731129632609,278,94861000,13.776531361523203,0.7856251789124264,28.004211205503474,1.9957887944965282
